Common Name	Scientific Name	Synonymes	Domain	SubDomain	SuperKingdom	Kingdom	SubKingdom	InfraKingdom	SuperPhylum (subDivision)	Phylum (division)	SubPhylum (subDivision)	InfraPhylum	SuperClass	Class	SubClass	InfraClass	SubterClass (?)	SuperOrder	Order	SubOrder	InfraOrder	MicroOrder	SuperFamily	Family	SubFamily	Tribe	SubTribe	Genus	GenusSynonyme	SubGenus	Species	SpeciesSynonyme	SubSpecies	Country	CountryAlphaCode2	CountryAlphaCode3	Image	Source
	Aacanthocnema dobsoni	Trioza dobsoni	Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota				Hemiptera	Sternorrhyncha			Psylloidea	Triozidae				Aacanthocnema			Aacanthocnema dobsoni			Australia	AU	AUS	1	https://www.gbif.org/fr/occurrence/3328035577 https://www.gbif.org/fr/species/2015393
	Aacanthocnema huegelianae		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota				Hemiptera	Sternorrhyncha			Psylloidea	Triozidae				Aacanthocnema			Aacanthocnema huegelianae						0	https://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:afd.taxon:55dcea27-634c-4fa3-8c8d-e7405638a52e
	Aacanthocnema luehmannii		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota				Hemiptera	Sternorrhyncha			Psylloidea	Triozidae				Aacanthocnema			Aacanthocnema luehmannii						0	
	Aacanthocnema torulosae		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota				Hemiptera	Sternorrhyncha			Psylloidea	Triozidae				Aacanthocnema			Aacanthocnema torulosae			Australia	AU	AUS	0	https://www.gbif.org/fr/species/165606436 https://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:afd.taxon:16151f79-e360-4124-a340-6a44111903ab#classification
	Aades bicristatus Schoenherr		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Coleoptera	Polyphaga	Cucujiformia		Curculionoidea	Curculionidae	Cyclominae	Aterpini	Aterpina	Aades			Aades bicristatus Schoenherr			Australia	AU	AUS	0	https://www.gbif.org/fr/species/1228684 https://commons.wikimedia.org/wiki/Category:Aades http://insecta.pro/taxonomy/247715
	Aades bifoveifrons		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Coleoptera	Polyphaga	Cucujiformia		Curculionoidea	Curculionidae	Cyclominae	Aterpini	Aterpina	Aades			Aades bifoveifrons			Australia	AU	AUS	0	
	Aades cultratus		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Coleoptera	Polyphaga	Cucujiformia		Curculionoidea	Curculionidae	Cyclominae	Aterpini	Aterpina	Aades			Aades cultratus	Aterpus cultratus		Australia	AU	AUS	1	
	Aades franklini		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Coleoptera	Polyphaga	Cucujiformia		Curculionoidea	Curculionidae	Cyclominae	Aterpini	Aterpina	Aades			Aades franklini						0	https://www.gbif.org/fr/species/9494942 https://species.wikimedia.org/wiki/Aades_franklini
	Aafrita biladalshama		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Pancondylognatha	Hemiptera	Fulgoromorpha			Fulgoroidea	Perforissidae	Cixitettiginae			Aafrita			Aafrita biladalshama			Lebanon	LB	LBN	0	https://www.mindat.org/taxon-8462807.html https://www.gbif.org/en/species/8611397
	Aagaardia longicalcis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Diptera	Nematocera	Culicomorpha		Chironomoidea	Chironomidae	Orthocladiinae			Aagaardia			Aagaardia longicalcis						0	https://species.wikimedia.org/wiki/Aagaardia_longicalcis http://insecta.pro/taxonomy/309179 https://zh.mindat.org/taxon-1446571.html
