Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Clinosafflorite,Clinosafflorite,Co2+As2,CoAs2,Co As,IMA1970-014,1510,Canada,Approved,Löllingite,monoclinic,Co^2+ As,
Clino-suenoite,Clino-suenoite,[box]Mn2+2Mg5Si8O22(OH)2,[box]Mn2+2Mg5Si8O22(OH)2,Mn Mg Si O H,IMA2016-111,6638,Italy,Approved,Amphibole,monoclinic,Mn^2+ Mg Si O H,
Clinotobermorite,Clinotobermorite,Ca5Si6O17·5H2O,Ca4Si6O17(H2O)2·(Ca·3H2O),Ca Si O H,IMA1990-005,1511,Japan,Approved|Redefined,Tobermorite,triclinic|monoclinic,Ca Si O H,
Clinoungemachite,Clinoungemachite,K3Na8Fe3+(S6+O4)6(OH)2·10H2O,K3Na8Fe3+(SO4)6(OH)2·10H2O,K Na Fe S O H,,5080,Chile,Grandfathered|Approved, ,,K Na Fe^3+ S^6+ O H,
Clinozoisite,Clinozoisite,Ca2Al3(Si2O7)(SiO4)O(OH),Ca2Al3[Si2O7][SiO4]O(OH),Ca Al Si O H,,1513,Austria,Approved,Epidote,monoclinic,Ca Al Si O H,
Clintonite,Clintonite,CaAlMg2(SiAl3)O10(OH)2,CaAlMg2(SiAl3O10)(OH)2,Ca Al Mg Si O H,,1514,USA,Approved,Clay,monoclinic,Ca Al Mg Si O H,
Cloncurryite,Cloncurryite,Cu2+0.5(V4+O)0.5Al2(P5+O4)2F2·5H2O,Cu0.5(VO)0.5Al2(PO4)2F2·5H2O,Cu V O Al P F H,IMA2005-060,5562,Australia,Approved, ,monoclinic,Cu^2+ V^4+ O Al P^5+ F H,
Coalingite,Coalingite,Mg10Fe3+2CO3(OH)24·2H2O,Mg10Fe3+2(CO3)(OH)24·2H2O,Mg Fe C O H,IMA1965-011,1515,USA,Approved,Hydrotalcite,hexagonal,Mg Fe^3+ C O H,
Cobaltarthurite,Cobaltarthurite,Co2+Fe3+2(As5+O4)2(OH)2·4H2O,CoFe3+2(AsO4)2(OH)2·4H2O,Co Fe As O H,IMA2001-052,1517,Spain,Approved,Arthurite,monoclinic,Co^2+ Fe^3+ As^5+ O H,
Cobaltaustinite,Cobaltaustinite,CaCo2+As5+O4(OH),CaCo(AsO4)(OH),Ca Co As O H,IMA1987-042,1518,Australia,Approved,Adelite,orthorhombic,Ca Co^2+ As^5+ O H,
Cobaltite,Cobaltite,Co3+(AsS)3-,CoAsS,Co As S,,1519,unknown,Grandfathered|Approved,Cobaltite,orthorhombic|cubic,Co^3+ As S,
