Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Abellaite,Abellaite,NaPb2+2(CO3)2(OH),NaPb2(CO3)2(OH),Na Pb C O H,IMA2014-111,6482,Spain,Approved, ,hexagonal,Na Pb^2+ C O H,1
Abelsonite,Abelsonite,Ni2+C31H32N4,NiC31H32N4,Ni C H N,IMA1975-013,777,USA,Approved, ,triclinic,Ni^2+ C H N,1
Abenakiite-(Ce),Abenakiite-(Ce),Na26Ce3+6(SiO3)6(P5+O4)6(C4+O3)6(S4+O2)O,Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,Na Ce Si O P C S,IMA1991-054,778,Canada,Approved, ,hexagonal,Na Ce^3+ Si O P^5+ C^4+ S^4+,1
Abernathyite,Abernathyite,K(U6+O2)As5+O4·3H2O,K(UO2)(AsO4)·3H2O,K U O As H,,779,USA,Grandfathered|Approved,Natroautunite,tetragonal,K U^6+ O As^5+ H,1
Abhurite,Abhurite,Sn2+21O6(OH)14Cl16,Sn2+21O6(OH)14Cl16,Sn O H Cl,IMA1983-061,780,Saudi Arabia,Approved, ,hexagonal,Sn^2+ O H Cl,1
Abramovite,Abramovite,Pb2+2Sn4+In3+Bi3+S2-7,Pb2SnInBiS7,Pb Sn In Bi S,IMA2006-016,5327,Russia,Approved, ,triclinic,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,1
Abswurmbachite,Abswurmbachite,Cu2+Mn3+6O8(SiO4),Cu2+Mn3+6O8(SiO4),Cu Mn O Si,IMA1990-007,781,Greece,Approved,Braunite,tetragonal,Cu^2+ Mn^3+ O Si,1
Abuite,Abuite,CaAl2(PO4)2F2,CaAl2(PO4)2F2,Ca Al P O F,IMA2014-084,6382,Japan,Approved, ,orthorhombic,Ca Al P O F,1
Acanthite,Acanthite,Ag1+2S2-,Ag2S,Ag S,,782,Czech Republic,Grandfathered|Approved,Acanthite,monoclinic,Ag^1+ S^2-,1
Acetamide,Acetamide,CH3CONH2,CH3CONH2,C H O N,IMA1974-039,783,Ukraine,Approved, ,hexagonal,C H O N,1
Achalaite,Achalaite,Fe2+Ti4+Nb5+2O8,Fe2+TiNb2O8,Fe Ti Nb O,IMA2013-103,6262,Argentina,Approved,Wodginite,monoclinic,Fe^2+ Ti^4+ Nb^5+ O,0
Achávalite,Achavalite,FeSe,FeSe,Fe Se,,5363,Argentina,Approved|Renamed,Nickeline,hexagonal,Fe Se,1
Achyrophanite,Achyrophanite,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(As5+O4)5","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5",K Na Fe Ti Al Mg O As,IMA2018-011,6754,Russia,Pending publication|Approved, ,orthorhombic,K Na Fe^3+ Ti Al Mg O As^5+,1
Acmonidesite,Acmonidesite,"(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8",N H K Pb Na Fe S O Cl,IMA2013-068,6229,Italy,Approved, ,orthorhombic,N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,1
Actinolite,Actinolite,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,,784,Germany / Austria,Approved|Redefined,Amphibole,monoclinic,Ca Mg Fe^2+ Si O H,1
Acuminite,Acuminite,SrAlF4(OH)·H2O,SrAlF4(OH)·H2O,Sr Al F O H,IMA1986-038,785,Denmark (Greenland),Approved,Tikhonenkovite,monoclinic,Sr Al F O H,1
Adachiite,Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),Ca Fe Al Si O B H,IMA2012-101,6164,Japan,Approved,Tourmaline,hexagonal,Ca Fe^2+ Al Si O B H,1
Adamite,Adamite,Zn2+2As5+O4(OH),Zn2(AsO4)(OH),Zn As O H,,786,Chile,Grandfathered|Approved,Andalusite,orthorhombic,Zn^2+ As^5+ O H,1
Adamsite-(Y),Adamsite-(Y),NaY3+(CO3)2·6H2O,NaY(CO3)2·6H2O,Na Y C O H,IMA1999-020,787,Canada,Approved, ,triclinic,Na Y^3+ C O H,1
Adanite,Adanite,Pb2+2(Te4+O3)(S6+O4),Pb2(Te4+O3)(SO4),Pb Te O S,IMA2019-088,6938,USA,Approved, ,monoclinic,Pb^2+ Te^4+ O S^6+,1
Addibischoffite,Addibischoffite,Ca2Al6Al6O20,Ca2Al6Al6O20,Ca Al O,IMA2015-006,6412,Algeria (meteorite),Approved,Sapphirine,triclinic,Ca Al O,0
Adelite,Adelite,CaMgAs5+O4(OH),CaMg(AsO4)(OH),Ca Mg As O H,,788,Sweden,Grandfathered|Approved,Adelite,orthorhombic,Ca Mg As^5+ O H,1
Admontite,Admontite,MgB6O10·7H2O,MgB6O10·7H2O,Mg B O H,IMA1978-012,789,Austria,Approved, ,monoclinic,Mg B O H,1
Adolfpateraite,Adolfpateraite,K(U6+O2)(S6+O4)(OH)(H2O),K(UO2)(SO4)(OH)(H2O),K U O S H,IMA2011-042,5970,Czech Republic,Approved, ,monoclinic,K U^6+ O S^6+ H,1
Adranosite,Adranosite,(N3-H4)4NaAl2(S6+O4)4Cl(OH)2,(NH4)4NaAl2(SO4)4Cl(OH)2,N H Na Al S O Cl,IMA2008-057,5717,Italy,Approved,Adranosite,tetragonal,N^3- H Na Al S^6+ O Cl,1
Adranosite-(Fe),Adranosite-(Fe),(N3-H4)4NaFe3+2(S6+O4)4Cl(OH)2,(NH4)4NaFe2(SO4)4Cl(OH)2,N H Na Fe S O Cl,IMA2011-006,5936,Italy,Approved,Adranosite,tetragonal,N^3- H Na Fe^3+ S^6+ O Cl,1
Adrianite,Adrianite,Ca12(Al4Mg3Si7)O32Cl6,Ca12(Al4Mg3Si7)O32Cl6,Ca Al Mg Si O Cl,IMA2014-028,6322,Mexico (meteorite),Approved, ,cubic,Ca Al Mg Si O Cl,1
Aegirine,Aegirine,NaFe3+Si2O6,NaFe3+Si2O6,Na Fe Si O,,790,Norway,Approved,Pyroxene,monoclinic,Na Fe^3+ Si O,1
Aegirine-augite,Aegirine-augite,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6",Ca Na Fe Mg Si O,,4919,Russia,Approved|Redefined,Pyroxene,monoclinic,Ca Na Fe^3+ Mg Fe^2+ Si O,1
Aenigmatite,Aenigmatite,Na4(Fe2+10Ti4+2)O4[Si12O36],Na4[Fe2+10Ti2]O4[Si12O36],Na Fe Ti O Si,,791,Denmark (Greenland),Approved,Sapphirine,triclinic,Na Fe^2+ Ti^4+ O Si,1
Aerinite,Aerinite,"(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O",Ca Na Fe Mg Al Si O H C,,792,Spain,Approved|Redefined, ,hexagonal,Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,1
Aerugite,Aerugite,Ni2+8.5(As5+O4)2As5+O8,Ni8.5(AsO4)2As5+O8,Ni As O,,4876,Germany,Approved|Redefined, ,hexagonal,Ni^2+ As^5+ O,1
Aeschynite-(Ce),Aeschynite-(Ce),"(Ce3+,Ca,Fe2+,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6",Ce Ca Fe Th Ti Nb O H,IMA1987 s.p.,793,Russia,Approved|Renamed,Aeschynite,orthorhombic,Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H,1
Aeschynite-(Nd),Aeschynite-(Nd),"(Nd3+,Ln3+,Ca)(Ti4+,Nb5+)2(O,OH)6","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6",Nd Ln Ca Ti Nb O H,,794,China,Approved,Aeschynite,orthorhombic,Nd^3+ Ln^3+ Ca Ti^4+ Nb^5+ O H,1
Aeschynite-(Y),Aeschynite-(Y),"(Y3+,Ca,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,IMA1987 s.p.,795,Norway,Approved|Renamed,Aeschynite,orthorhombic|amorphous,Y^3+ Ca Th^4+ Ti^4+ Nb^5+ O H,1
Afghanite,Afghanite,Na22Ca10(Si24Al24)O96(S6+O4)6Cl6,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,IMA1967-041,796,Afghanistan,Approved,Cancrinite-sodalite,hexagonal,Na Ca Si Al O S^6+ Cl,1
Afmite,Afmite,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,Al O H P,IMA2005-025a,5844,France,Approved, ,triclinic,Al O H P,1
Afwillite,Afwillite,Ca3(SiO4)(SiO2(OH)2)·2H2O,Ca3[SiO4][SiO2(OH)2]·2H2O,Ca Si O H,,797,South Africa,Grandfathered|Approved,Spurrite-Afwillite,monoclinic|triclinic,Ca Si O H,1
Agaite,Agaite,Pb2+3Cu2+Te6+O5(OH)2(CO3),Pb3Cu2+Te6+O5(OH)2(CO3),Pb Cu Te O H C,IMA2011-115,6058,USA,Approved, ,orthorhombic,Pb^2+ Cu^2+ Te^6+ O H C,0
Agakhanovite-(Y),Agakhanovite-(Y),Y3+Ca[box]2KBe3Si12O30,YCa[box]2KBe3Si12O30,Y Ca K Be Si O,IMA2013-090,6248,Norway,Approved,Milarite,hexagonal,Y^3+ Ca K Be Si O,1
Agardite-(Ce),Agardite-(Ce),Cu2+6Ce3+(As5+O4)3(OH)6·3H2O,CeCu2+6(AsO4)3(OH)6·3H2O,Ce Cu As O H,IMA2003-030,799,Germany,Approved,Mixite,hexagonal,Cu^2+ Ce^3+ As^5+ O H,1
Agardite-(La),Agardite-(La),Cu2+6La3+(As5+O4)3(OH)6·3H2O,LaCu2+6(AsO4)3(OH)6·3H2O,La Cu As O H,IMA1980-092,801,Greece,Approved,Mixite,hexagonal,Cu^2+ La^3+ As^5+ O H,1
Agardite-(Nd),Agardite-(Nd),Cu2+6Nd3+(As5+O4)3(OH)6·3H2O,NdCu2+6(AsO4)3(OH)6·3H2O,Nd Cu As O H,IMA2010-056,802,Greece,Approved,Mixite,hexagonal,Cu^2+ Nd^3+ As^5+ O H,1
Agardite-(Y),Agardite-(Y),Cu2+6Y3+(As5+O4)3(OH)6·3H2O,YCu2+6(AsO4)3(OH)6·3H2O,Y Cu As O H,"IMA1968-021, IMA1987 s.p.",803,Morocco,Approved|Renamed,Mixite,hexagonal,Cu^2+ Y^3+ As^5+ O H,1
Agmantinite,Agmantinite,Ag1+2Mn2+Sn4+S2-4,Ag2MnSnS4,Ag Mn Sn S,IMA2014-083,6381,Peru,Approved,Wurtzite,orthorhombic|monoclinic,Ag^1+ Mn^2+ Sn^4+ S^2-,1
Agrellite,Agrellite,NaCa2Si4O10F,NaCa2Si4O10F,Na Ca Si O F,IMA1973-032,804,Canada,Approved, ,triclinic,Na Ca Si O F,1
Agricolaite,Agricolaite,K4(U6+O2)(CO3)3,K4(UO2)(CO3)3,K U O C,IMA2009-081,5810,Czech Republic,Approved, ,monoclinic,K U^6+ O C,1
Agrinierite,Agrinierite,K2Ca[(U6+O2)3O3(OH)2]2·5H2O,K2Ca[(UO2)3O3(OH)2]2·5H2O,K Ca U O H,IMA1971-046,805,France,Approved,Compreignacite,orthorhombic,K Ca U^6+ O H,1
Aguilarite,Aguilarite,Ag1+4Se2-S2-,Ag4SeS,Ag Se S,,806,Mexico,Grandfathered|Approved,Acanthite,monoclinic|orthorhombic,Ag^1+ Se^2- S^2-,1
Aheylite,Aheylite,Fe2+Al6(PO4)4(OH)8·4H2O,Fe2+Al6(PO4)4(OH)8·4H2O,Fe Al P O H,IMA1984-036,807,Bolivia,Approved,Turquoise,triclinic,Fe^2+ Al P O H,1
Ahlfeldite,Ahlfeldite,Ni2+Se4+O3·2H2O,Ni(SeO3)·2H2O,Ni Se O H,,808,Bolivia,Grandfathered|Approved,Cobaltomenite,monoclinic,Ni^2+ Se^4+ O H,1
Ahrensite,Ahrensite,SiFe2+2O4,SiFe2O4,Si Fe O,IMA2013-028,6189,Morocco (meteorite),Approved,Spinel,cubic,Si Fe^2+ O,1
Aikinite,Aikinite,Cu1+Pb2+Bi3+S2-3,CuPbBiS3,Cu Pb Bi S,,809,Russia,Grandfathered|Approved,Meneghinite,orthorhombic,Cu^1+ Pb^2+ Bi^3+ S^2-,1
Aiolosite,Aiolosite,Na2(Na2Bi3+)(S6+O4)3Cl,Na2(Na2Bi)(SO4)3Cl,Na Bi S O Cl,IMA2008-015,5674,Italy,Approved,Apatite,hexagonal,Na Bi^3+ S^6+ O Cl,1
Ajoite,Ajoite,K3Cu2+20Al3Si29O76(OH)16·8H2O,K3Cu2+20Al3Si29O76(OH)16·8H2O,K Cu Al Si O H,,810,USA,Approved,Ajoite,triclinic,K Cu^2+ Al Si O H,1
Akaganeite,Akaganeite,"(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O",Fe Ni O H Cl,IMA1962-004,811,Japan,Approved|Renamed,Coronadite,monoclinic|tetragonal,Fe^3+ Ni^2+ O H Cl,1
Akaogiite,Akaogiite,Ti4+O2,TiO2,Ti O,IMA2007-058,5657,Germany,Approved,Baddeleyite,monoclinic,Ti^4+ O,0
Akatoreite,Akatoreite,Mn2+9Al2Si8O24(OH)8,Mn2+9Al2Si8O24(OH)8,Mn Al Si O H,IMA1969-015,812,New Zealand,Approved, ,triclinic,Mn^2+ Al Si O H,1
Akdalaite,Akdalaite,Al10O14(OH)2,Al10O14(OH)2,Al O H,IMA1969-002,813,Kazakhstan,Approved,Nolanite,hexagonal|orthorhombic,Al O H,1
Åkermanite,Akermanite,Ca2MgSi2O7,Ca2MgSi2O7,Ca Mg Si O,,814,Sweden,Grandfathered|Approved,Melilite,tetragonal,Ca Mg Si O,1
Akhtenskite,Akhtenskite,Mn4+O2,MnO2,Mn O,IMA1982-072,815,Russia,Approved,Ramsdellite,hexagonal,Mn^4+ O,1
Akimotoite,Akimotoite,MgSiO3,MgSiO3,Mg Si O,IMA1997-044,816,Australia (meteorite),Approved,Corundum,hexagonal,Mg Si O,1
Aklimaite,Aklimaite,Ca4[Si2O5(OH)2](OH)4·5H2O,Ca4[Si2O5(OH)2](OH)4·5H2O,Ca Si O H,IMA2011-050,5978,Russia,Approved, ,monoclinic,Ca Si O H,0
Akopovaite,Akopovaite,Al4Li2(OH)12(CO3)(H2O)3,Al4Li2(OH)12(CO3)(H2O)3,Al Li O H C,IMA2018-095,6825,Kyrgyzstan,Approved,Hydrotalcite,monoclinic,Al Li O H C,1
Akrochordite,Akrochordite,Mn2+5(As5+O4)2(OH)4·4H2O,Mn2+5(AsO4)2(OH)4·4H2O,Mn As O H,,817,Sweden,Grandfathered|Approved, ,monoclinic,Mn^2+ As^5+ O H,1
Aksaite,Aksaite,MgB6O7(OH)6·2H2O,MgB6O7(OH)6·2H2O,Mg B O H,,818,Kazakhstan,Approved, ,orthorhombic,Mg B O H,
Aktashite,Aktashite,Cu1+6Hg2+3As3+4S2-12,Cu6Hg3As4S12,Cu Hg As S,,819,Russia,Approved|Redefined,Nowackiite,hexagonal,Cu^1+ Hg^2+ As^3+ S^2-,
Alabandite,Alabandite,Mn2+S2-,MnS,Mn S,,820,Romania / Turkey,Grandfathered|Approved,Rocksalt,cubic,Mn^2+ S^2-,
Alacránite,Alacranite,As8S9,As8S9,As S,IMA1985-033,821,Russia,Approved|Renamed, ,monoclinic,As S,
Alamosite,Alamosite,Pb2+SiO3,PbSiO3,Pb Si O,,822,Mexico,Grandfathered|Approved, ,monoclinic,Pb^2+ Si O,
Alarsite,Alarsite,AlAs5+O4,Al(AsO4),Al As O,IMA1993-003,823,Russia,Approved,Quartz,hexagonal,Al As^5+ O,
Albertiniite,Albertiniite,Fe2+(S4+O3)·3H2O,Fe2+(SO3)·3H2O,Fe S O H,IMA2015-004,6410,Italy,Approved, ,monoclinic,Fe^2+ S^4+ O H,
Albite,Albite,NaAlSi3O8,Na(AlSi3O8),Na Al Si O,,824,Sweden,Grandfathered|Approved,Feldspar,triclinic,Na Al Si O,
Albrechtschraufite,Albrechtschraufite,Ca4Mg(U6+O2)2(CO3)6F2·17H2O,MgCa4F2[UO2(CO3)3]2·17-18H2O,Mg Ca F U O C H,IMA1983-078,825,Czech Republic,Approved, ,triclinic,Ca Mg U^6+ O C F H,
Alburnite,Alburnite,Ag1+8Ge4+Te2-2S2-4,Ag8GeTe2S4,Ag Ge Te S,IMA2012-073,6132,Romania,Approved,Argyrodite,cubic,Ag^1+ Ge^4+ Te^2- S^2-,
Alcantarillaite,Alcantarillaite,[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(As5+O4)2O7],[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7],Fe H O Ca As W,IMA2019-072,6954,Spain,Pending publication|Approved,Walentaite,orthorhombic,Fe^3+ H O Ca As^3+ W^6+ As^5+,
Alcaparrosaite,Alcaparrosaite,K3Ti4+Fe3+(S6+O4)4O·2H2O,K3Ti4+Fe3+(SO4)4O(H2O)2,K Ti Fe S O H,IMA2011-024,5952,Chile,Approved,Alcaparrosaite,monoclinic,K Ti^4+ Fe^3+ S^6+ O H,
Aldermanite,Aldermanite,Mg5Al12(PO4)8(OH)22·32H2O,Mg5Al12(PO4)8(OH)22·32H2O,Mg Al P O H,IMA1980-044,826,Australia,Approved, ,orthorhombic,Mg Al P O H,
Aldridgeite,Aldridgeite,"(Cd2+,Ca)(Cu2+,Zn2+)4(S6+O4)2(OH)6·3H2O","(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O",Cd Ca Cu Zn S O H,IMA2010-029,5856,Australia,Approved,Devilline,monoclinic,Cd^2+ Ca Cu^2+ Zn^2+ S^6+ O H,
Aleksandrovite,Aleksandrovite,KCa7Sn4+2Li3Si12O36F2,KCa7Sn2Li3Si12O36F2,K Ca Sn Li Si O F,IMA2009-004,5736,Tajikistan,Approved,Baratovite,monoclinic,K Ca Sn^4+ Li Si O F,
Aleksite,Aleksite,Pb2+Bi3+2Te2-2S2-2,PbBi2Te2S2,Pb Bi Te S,IMA1977-038,4935,Russia,Approved,Tetradymite,hexagonal,Pb^2+ Bi^3+ Te^2- S^2-,
Aleutite,Aleutite,[Cu2+5O2](As5+O4)(V5+O4)·(Cu2+0.5[box]0.5)Cl,[Cu5O2](AsO4)(VO4)·(Cu0.5[box]0.5)Cl,Cu O As V Cl,IMA2018-014,6757,Russia,Approved, ,monoclinic,Cu^2+ O As^5+ V^5+ Cl,
Alexkhomyakovite,Alexkhomyakovite,K6(Ca2Na)(CO3)5Cl1-·6H2O,K6(Ca2Na)(CO3)5Cl·6H2O,K Ca Na C O Cl H,IMA2015-013,6418,Russia,Approved, ,hexagonal,K Ca Na C O Cl^1- H,
Alexkuznetsovite-(Ce),Alexkuznetsovite-(Ce),Ce2Mn2+(CO3)(Si2O7),Ce2Mn(CO3)(Si2O7),Ce Mn C O Si,IMA2019-118,7002,Russia,Pending publication|Approved,Biraite,monoclinic,Ce Mn^2+ C O Si,
Alexkuznetsovite-(La),Alexkuznetsovite-(La),La2Mn2+(CO3)(Si2O7),La2Mn(CO3)(Si2O7),La Mn C O Si,IMA2019-081,6965,Russia,Pending publication|Approved,Biraite,monoclinic,La Mn^2+ C O Si,
Alflarsenite,Alflarsenite,NaCa2Be3Si4O13(OH)·2H2O,NaCa2Be3Si4O13(OH)·2H2O,Na Ca Be Si O H,IMA2008-023,5682,Norway,Approved, ,monoclinic,Na Ca Be Si O H,
Alforsite,Alforsite,Ba5(PO4)3Cl,Ba5(PO4)3Cl,Ba P O Cl,IMA1980-039,827,USA,Approved,Apatite,hexagonal,Ba P O Cl,
Alfredopetrovite,Alfredopetrovite,Al2(Se4+O3)3·6H2O,Al2(Se4+O3)3·6H2O,Al Se O H,IMA2015-026,6427,Bolivia,Approved, ,hexagonal,Al Se^4+ O H,
Alfredstelznerite,Alfredstelznerite,Ca4B16O16(OH)24·19H2O,Ca4(H2O)4[B4O4(OH)6]4(H2O)15,Ca H O B,IMA2007-050,5650,Argentina,Approved, ,orthorhombic,Ca B O H,
Algodonite,Algodonite,Cu1-xAsx (x ≈ 1/7),Cu1-xAsx (x ≈ 0.15),Cu As,,828,Chile,Grandfathered|Approved, ,hexagonal,Cu As,
Aliettite,Aliettite,"Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O","Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O",Ca Mg Si Al O H,,829,Italy,Approved|Redefined,Clay,,Ca Mg Si Al O H,
Allabogdanite,Allabogdanite,"(Fe,Ni)2P","(Fe,Ni)2P",Fe Ni P,IMA2000-038,830,Russia (meteorite),Approved,Barringerite,orthorhombic,Fe Ni P,
Allactite,Allactite,Mn2+7(As5+O4)2(OH)8,Mn2+7(AsO4)2(OH)8,Mn As O H,,4920,Sweden,Approved,Allactite,monoclinic,Mn^2+ As^5+ O H,
Allanite-(Ce),Allanite-(Ce),CaCeAl2Fe2+(Si2O7)(SiO4)O(OH),CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH),Ca Ce Al Fe Si O H,IMA1987 s.p.,832,Denmark (Greenland),Approved|Renamed,allanite,monoclinic|unknown,Ca Ce Al Fe^2+ Si O H,
Allanite-(La),Allanite-(La),CaLaFe2+Al2(Si2O7)(SiO4)O(OH),CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH),Ca La Al Fe Si O H,IMA2003-065,4939,Italy,Approved,allanite,monoclinic,Ca La Fe^2+ Al Si O H,
Allanite-(Nd),Allanite-(Nd),CaNdAl2Fe2+(Si2O7)(SiO4)O(OH),CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH),Ca Nd Al Fe Si O H,IMA2010-060,5902,Sweden,Approved,allanite,monoclinic,Ca Nd Al Fe^2+ Si O H,
Allanite-(Y),Allanite-(Y),CaYAl2Fe2+(Si2O7)(SiO4)O(OH),CaY(Al2Fe2+)[Si2O7][SiO4]O(OH),Ca Y Al Fe Si O H,IMA1966 s.p.,833,South Africa,Approved|Renamed,allanite,monoclinic,Ca Y Al Fe^2+ Si O H,
Allanpringite,Allanpringite,Fe3+3(PO4)2(OH)3·5H2O,Fe3+3(PO4)2(OH)3·5H2O,Fe P O H,IMA2004-050,5296,Germany,Approved,Wavellite,monoclinic,Fe^3+ P O H,
Allargentum,Allargentum,Ag1-xSbx (x=0.09-0.16),Ag1-xSbx (x ≈ 0.09-0.16),Ag Sb,,834,Canada,Approved|Redefined,Allargentum,hexagonal,Ag Sb,
Alleghanyite,Alleghanyite,Mn2+5(SiO4)2(OH)2,Mn2+5(SiO4)2(OH)2,Mn Si O H,,835,USA,Grandfathered|Approved,Humite,monoclinic,Mn^2+ Si O H,
Allendeite,Allendeite,Sc3+4Zr4+3O12,Sc4Zr3O12,Sc Zr O,IMA2007-027,5629,Mexico (meteorite),Approved, ,hexagonal,Sc^3+ Zr^4+ O,
Allochalcoselite,Allochalcoselite,Cu1+Cu2+5Pb2+O2(Se4+O3)2Cl5,Cu1+Cu2+5PbO2(SeO3)2Cl5,Cu Pb O Se Cl,IMA2004-025,5282,Russia,Approved, ,monoclinic,Cu^1+ Cu^2+ Pb^2+ O Se^4+ Cl,
Alloclasite,Alloclasite,Co3+(AsS)3-,CoAsS,Co As S,,836,Romania,Grandfathered|Approved,Löllingite,monoclinic,Co^3+ As S,
Allophane,Allophane,Al2O3(SiO2)1.3-2.0·2.5-3.0H2O,Al2O3(SiO2)1.3-2.0·2.5-3.0H2O,Al O Si H,,837,Germany,Grandfathered|Approved,Allophane,,Al O Si H,
Alloriite,Alloriite,"(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(S6+O4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4","(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(SO4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4",Na K Ca Si Al O S C H Cl,IMA2006-020,5356,Italy,Approved,Cancrinite-sodalite,hexagonal,Na K Ca Si Al O S^6+ S C H Cl,
Alluaivite,Alluaivite,"Na19(Ca,Mn2+)6(Ti4+,Nb5+)3Si26O74Cl·2H2O","Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O",Na Ca Mn Ti Nb Si O Cl H,IMA1988-052,838,Russia,Approved,Eudialyte,hexagonal,Na Ca Mn^2+ Ti^4+ Nb^5+ Si O Cl H,
Alluaudite,Alluaudite,NaMn2+Fe3+2(PO4)3,NaMnFe3+2(PO4)3,Na Mn Fe P O,,839,France,Approved|Redefined,Alluaudite,monoclinic,Na Mn^2+ Fe^3+ P O,
Almandine,Almandine,Fe2+3Al2(SiO4)3,Fe2+3Al2(SiO4)3,Fe Al Si O,,840,Turkey,Grandfathered|Approved,Garnet,cubic|unknown,Fe^2+ Al Si O,
Almarudite,Almarudite,"K([box],Na)2Mn2+2(Be3Si12)O30","K([box],Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30",K Na Mn Fe Mg Be Al Si O,IMA2002-048,4940,Germany,Approved,Milarite,hexagonal,K Na Mn^2+ Be Si O,
Almeidaite,Almeidaite,"Pb2+Zn2+2(Mn2+,Y3+)(Ti4+,Fe3+)18O36(OH,O)2","PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2",Pb Zn Mn Y Ti Fe O H,IMA2013-020,6157,Brazil,Approved,Crichtonite,hexagonal,Pb^2+ Zn^2+ Mn^2+ Y^3+ Ti^4+ Fe^3+ O H,
Alnaperbøeite-(Ce),Alnaperboeite-(Ce),(CaCe2.5Na0.5)Al4(Si2O7)(SiO4)3O(OH)2,(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2,Ca Ce Na Al Si O H,IMA2012-054,6110,Norway,Approved,Gatelite,monoclinic,Ca Ce Na Al Si O H,
Alpeite,Alpeite,Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(V5+O4)(OH)6,Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6,Ca Mn Al Mg Si O V H,IMA2016-072,6600,Italy,Approved,Ardennite,orthorhombic,Ca Mn^3+ Al Mg Si O V^5+ H,
Alpersite,Alpersite,MgS6+O4·7H2O,Mg(SO4)·7H2O,Mg S O H,IMA2003-040,5245,USA,Approved,Melanterite,monoclinic,Mg S^6+ O H,
Alsakharovite-Zn,Alsakharovite-Zn,"NaSrKZn2+(Ti4+,Nb5+)4(Si4O12)2(O,OH)4·7H2O","NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O",Na Sr K Zn Ti Nb Si O H,IMA2002-003,841,Russia,Approved,Labuntsovite,monoclinic,Na Sr K Zn^2+ Ti^4+ Nb^5+ Si O H,
Alstonite,Alstonite,BaCa(CO3)2,BaCa(CO3)2,Ba Ca C O,,842,United Kingdom,Grandfathered|Approved,Alstonite,orthorhombic|triclinic,Ba Ca C O,
Altaite,Altaite,Pb2+Te2-,PbTe,Pb Te,,843,Kazakhstan,Grandfathered|Approved,Rocksalt,cubic,Pb^2+ Te^2-,
